Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_mobilenet1.0_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 2.237 samples/sec, CrossEntropy=8.714, SmoothL1=2.940
[Epoch 0][Batch 1], Speed: 69.183 samples/sec, CrossEntropy=7.705, SmoothL1=2.471
[Epoch 0][Batch 2], Speed: 62.004 samples/sec, CrossEntropy=7.026, SmoothL1=2.254
[Epoch 0][Batch 3], Speed: 52.322 samples/sec, CrossEntropy=6.592, SmoothL1=2.129
[Epoch 0][Batch 4], Speed: 50.252 samples/sec, CrossEntropy=6.257, SmoothL1=2.080
[Epoch 0][Batch 5], Speed: 48.748 samples/sec, CrossEntropy=6.002, SmoothL1=2.007
[Epoch 0][Batch 6], Speed: 48.792 samples/sec, CrossEntropy=5.722, SmoothL1=1.975
[Epoch 0][Batch 7], Speed: 21.345 samples/sec, CrossEntropy=5.505, SmoothL1=1.930
[Epoch 0][Batch 8], Speed: 35.587 samples/sec, CrossEntropy=5.311, SmoothL1=1.856
[Epoch 0][Batch 9], Speed: 21.339 samples/sec, CrossEntropy=5.155, SmoothL1=1.836
[Epoch 0][Batch 10], Speed: 26.683 samples/sec, CrossEntropy=5.028, SmoothL1=1.802
[Epoch 0][Batch 11], Speed: 20.800 samples/sec, CrossEntropy=4.890, SmoothL1=1.778
[Epoch 0][Batch 12], Speed: 27.485 samples/sec, CrossEntropy=4.791, SmoothL1=1.778
[Epoch 0][Batch 13], Speed: 18.416 samples/sec, CrossEntropy=4.697, SmoothL1=1.766
[Epoch 0][Batch 14], Speed: 10.473 samples/sec, CrossEntropy=4.605, SmoothL1=1.741
[Epoch 0][Batch 15], Speed: 45.691 samples/sec, CrossEntropy=4.522, SmoothL1=1.736
[Epoch 0][Batch 16], Speed: 45.824 samples/sec, CrossEntropy=4.446, SmoothL1=1.717
[Epoch 0][Batch 17], Speed: 21.342 samples/sec, CrossEntropy=4.372, SmoothL1=1.711
[Epoch 0][Batch 18], Speed: 45.933 samples/sec, CrossEntropy=4.302, SmoothL1=1.705
[Epoch 0][Batch 19], Speed: 19.972 samples/sec, CrossEntropy=4.235, SmoothL1=1.695
[Epoch 0][Batch 20], Speed: 27.994 samples/sec, CrossEntropy=4.172, SmoothL1=1.689
[Epoch 0][Batch 21], Speed: 49.322 samples/sec, CrossEntropy=4.119, SmoothL1=1.676
[Epoch 0][Batch 22], Speed: 14.880 samples/sec, CrossEntropy=4.063, SmoothL1=1.673
[Epoch 0][Batch 23], Speed: 12.524 samples/sec, CrossEntropy=4.015, SmoothL1=1.654
[Epoch 0][Batch 24], Speed: 52.884 samples/sec, CrossEntropy=3.961, SmoothL1=1.647
