Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.01, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=3, resume='', save_interval=2, save_prefix='ssd_512_mobilenet1.0_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 2.281 samples/sec, CrossEntropy=19.660, SmoothL1=4.566
[Epoch 0][Batch 1], Speed: 71.346 samples/sec, CrossEntropy=20.806, SmoothL1=4.187
[Epoch 0][Batch 2], Speed: 68.741 samples/sec, CrossEntropy=20.170, SmoothL1=3.830
[Epoch 0][Batch 3], Speed: 46.067 samples/sec, CrossEntropy=19.459, SmoothL1=3.702
[Epoch 0][Batch 4], Speed: 46.347 samples/sec, CrossEntropy=18.931, SmoothL1=3.524
[Epoch 0][Batch 5], Speed: 45.027 samples/sec, CrossEntropy=17.424, SmoothL1=3.421
[Epoch 0][Batch 6], Speed: 53.398 samples/sec, CrossEntropy=16.218, SmoothL1=3.330
[Epoch 0][Batch 7], Speed: 32.114 samples/sec, CrossEntropy=16.049, SmoothL1=3.269
[Epoch 0][Batch 8], Speed: 31.941 samples/sec, CrossEntropy=15.173, SmoothL1=3.198
[Epoch 0][Batch 9], Speed: 9.684 samples/sec, CrossEntropy=15.380, SmoothL1=3.173
[Epoch 0][Batch 10], Speed: 53.835 samples/sec, CrossEntropy=14.892, SmoothL1=3.148
[Epoch 0][Batch 11], Speed: 53.381 samples/sec, CrossEntropy=14.672, SmoothL1=3.109
[Epoch 0][Batch 12], Speed: 10.325 samples/sec, CrossEntropy=14.652, SmoothL1=3.085
[Epoch 0][Batch 13], Speed: 53.144 samples/sec, CrossEntropy=14.862, SmoothL1=3.084
[Epoch 0][Batch 14], Speed: 40.768 samples/sec, CrossEntropy=14.458, SmoothL1=3.059
[Epoch 0][Batch 15], Speed: 14.456 samples/sec, CrossEntropy=14.041, SmoothL1=3.030
[Epoch 0][Batch 16], Speed: 53.594 samples/sec, CrossEntropy=13.526, SmoothL1=3.008
[Epoch 0][Batch 17], Speed: 21.374 samples/sec, CrossEntropy=13.196, SmoothL1=3.012
[Epoch 0][Batch 18], Speed: 14.553 samples/sec, CrossEntropy=12.991, SmoothL1=2.992
[Epoch 0][Batch 19], Speed: 30.808 samples/sec, CrossEntropy=12.701, SmoothL1=2.985
[Epoch 0][Batch 20], Speed: 35.405 samples/sec, CrossEntropy=12.422, SmoothL1=2.972
[Epoch 0][Batch 21], Speed: 15.523 samples/sec, CrossEntropy=12.030, SmoothL1=2.954
[Epoch 0][Batch 22], Speed: 18.875 samples/sec, CrossEntropy=11.667, SmoothL1=2.937
[Epoch 0][Batch 23], Speed: 45.743 samples/sec, CrossEntropy=11.398, SmoothL1=2.928
[Epoch 0][Batch 24], Speed: 16.026 samples/sec, CrossEntropy=11.114, SmoothL1=2.916
[Epoch 0][Batch 25], Speed: 15.227 samples/sec, CrossEntropy=10.831, SmoothL1=2.897
[Epoch 0][Batch 26], Speed: 45.752 samples/sec, CrossEntropy=10.561, SmoothL1=2.893
[Epoch 0][Batch 27], Speed: 24.667 samples/sec, CrossEntropy=10.373, SmoothL1=2.889
