Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=1e-05, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.00001_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.861 samples/sec, CrossEntropy=8.076, SmoothL1=2.516
[Epoch 0][Batch 1], Speed: 35.483 samples/sec, CrossEntropy=7.835, SmoothL1=2.383
[Epoch 0][Batch 2], Speed: 31.444 samples/sec, CrossEntropy=7.973, SmoothL1=2.288
[Epoch 0][Batch 3], Speed: 21.217 samples/sec, CrossEntropy=7.895, SmoothL1=2.329
[Epoch 0][Batch 4], Speed: 22.777 samples/sec, CrossEntropy=7.868, SmoothL1=2.267
[Epoch 0][Batch 5], Speed: 22.152 samples/sec, CrossEntropy=7.823, SmoothL1=2.255
[Epoch 0][Batch 6], Speed: 22.731 samples/sec, CrossEntropy=7.738, SmoothL1=2.250
[Epoch 0][Batch 7], Speed: 21.135 samples/sec, CrossEntropy=7.697, SmoothL1=2.255
[Epoch 0][Batch 8], Speed: 21.708 samples/sec, CrossEntropy=7.623, SmoothL1=2.225
[Epoch 0][Batch 9], Speed: 13.545 samples/sec, CrossEntropy=7.581, SmoothL1=2.267
[Epoch 0][Batch 10], Speed: 20.650 samples/sec, CrossEntropy=7.553, SmoothL1=2.270
[Epoch 0][Batch 11], Speed: 21.605 samples/sec, CrossEntropy=7.506, SmoothL1=2.248
[Epoch 0][Batch 12], Speed: 20.210 samples/sec, CrossEntropy=7.498, SmoothL1=2.223
[Epoch 0][Batch 13], Speed: 20.791 samples/sec, CrossEntropy=7.444, SmoothL1=2.201
[Epoch 0][Batch 14], Speed: 22.234 samples/sec, CrossEntropy=7.382, SmoothL1=2.230
[Epoch 0][Batch 15], Speed: 20.424 samples/sec, CrossEntropy=7.317, SmoothL1=2.207
[Epoch 0][Batch 16], Speed: 21.737 samples/sec, CrossEntropy=7.272, SmoothL1=2.194
[Epoch 0][Batch 17], Speed: 23.312 samples/sec, CrossEntropy=7.223, SmoothL1=2.189
[Epoch 0][Batch 18], Speed: 20.513 samples/sec, CrossEntropy=7.176, SmoothL1=2.193
[Epoch 0][Batch 19], Speed: 21.474 samples/sec, CrossEntropy=7.127, SmoothL1=2.175
[Epoch 0][Batch 20], Speed: 21.121 samples/sec, CrossEntropy=7.073, SmoothL1=2.194
[Epoch 0][Batch 21], Speed: 22.010 samples/sec, CrossEntropy=7.009, SmoothL1=2.179
[Epoch 0][Batch 22], Speed: 21.266 samples/sec, CrossEntropy=6.956, SmoothL1=2.164
[Epoch 0][Batch 23], Speed: 22.093 samples/sec, CrossEntropy=6.906, SmoothL1=2.172
[Epoch 0][Batch 24], Speed: 22.320 samples/sec, CrossEntropy=6.852, SmoothL1=2.187
[Epoch 0][Batch 25], Speed: 21.001 samples/sec, CrossEntropy=6.804, SmoothL1=2.193
[Epoch 0][Batch 26], Speed: 19.315 samples/sec, CrossEntropy=6.765, SmoothL1=2.179
[Epoch 0][Batch 27], Speed: 20.072 samples/sec, CrossEntropy=6.714, SmoothL1=2.164
[Epoch 0][Batch 28], Speed: 20.633 samples/sec, CrossEntropy=6.664, SmoothL1=2.155
[Epoch 0][Batch 29], Speed: 6.854 samples/sec, CrossEntropy=6.626, SmoothL1=2.148
[Epoch 0][Batch 30], Speed: 22.381 samples/sec, CrossEntropy=6.591, SmoothL1=2.135
[Epoch 0][Batch 31], Speed: 21.109 samples/sec, CrossEntropy=6.545, SmoothL1=2.135
[Epoch 0][Batch 32], Speed: 22.143 samples/sec, CrossEntropy=6.499, SmoothL1=2.133
[Epoch 0][Batch 33], Speed: 20.895 samples/sec, CrossEntropy=6.466, SmoothL1=2.139
[Epoch 0][Batch 34], Speed: 22.093 samples/sec, CrossEntropy=6.428, SmoothL1=2.151
[Epoch 0][Batch 35], Speed: 23.193 samples/sec, CrossEntropy=6.387, SmoothL1=2.153
[Epoch 0][Batch 36], Speed: 20.280 samples/sec, CrossEntropy=6.353, SmoothL1=2.143
[Epoch 0][Batch 37], Speed: 21.477 samples/sec, CrossEntropy=6.320, SmoothL1=2.131
[Epoch 0][Batch 38], Speed: 14.869 samples/sec, CrossEntropy=6.284, SmoothL1=2.120
[Epoch 0][Batch 39], Speed: 22.590 samples/sec, CrossEntropy=6.254, SmoothL1=2.133
[Epoch 0][Batch 40], Speed: 20.951 samples/sec, CrossEntropy=6.225, SmoothL1=2.126
[Epoch 0][Batch 41], Speed: 22.168 samples/sec, CrossEntropy=6.193, SmoothL1=2.123
[Epoch 0][Batch 42], Speed: 22.888 samples/sec, CrossEntropy=6.163, SmoothL1=2.124
[Epoch 0][Batch 43], Speed: 12.653 samples/sec, CrossEntropy=6.135, SmoothL1=2.115
[Epoch 0][Batch 44], Speed: 21.806 samples/sec, CrossEntropy=6.108, SmoothL1=2.116
[Epoch 0][Batch 45], Speed: 22.610 samples/sec, CrossEntropy=6.080, SmoothL1=2.117
[Epoch 0][Batch 46], Speed: 10.990 samples/sec, CrossEntropy=6.057, SmoothL1=2.113
[Epoch 0][Batch 47], Speed: 21.214 samples/sec, CrossEntropy=6.031, SmoothL1=2.108
[Epoch 0][Batch 48], Speed: 20.795 samples/sec, CrossEntropy=6.005, SmoothL1=2.114
[Epoch 0][Batch 49], Speed: 20.541 samples/sec, CrossEntropy=5.982, SmoothL1=2.117
[Epoch 0][Batch 50], Speed: 21.794 samples/sec, CrossEntropy=5.959, SmoothL1=2.104
[Epoch 0][Batch 51], Speed: 20.414 samples/sec, CrossEntropy=5.937, SmoothL1=2.097
[Epoch 0][Batch 52], Speed: 19.170 samples/sec, CrossEntropy=5.913, SmoothL1=2.108
[Epoch 0][Batch 53], Speed: 21.676 samples/sec, CrossEntropy=5.892, SmoothL1=2.104
[Epoch 0][Batch 54], Speed: 22.110 samples/sec, CrossEntropy=5.869, SmoothL1=2.105
[Epoch 0][Batch 55], Speed: 22.281 samples/sec, CrossEntropy=5.851, SmoothL1=2.101
[Epoch 0][Batch 56], Speed: 20.659 samples/sec, CrossEntropy=5.832, SmoothL1=2.095
[Epoch 0][Batch 57], Speed: 22.095 samples/sec, CrossEntropy=5.810, SmoothL1=2.092
[Epoch 0][Batch 58], Speed: 20.636 samples/sec, CrossEntropy=5.790, SmoothL1=2.097
[Epoch 0][Batch 59], Speed: 17.687 samples/sec, CrossEntropy=5.770, SmoothL1=2.098
[Epoch 0][Batch 60], Speed: 20.172 samples/sec, CrossEntropy=5.751, SmoothL1=2.092
[Epoch 0][Batch 61], Speed: 22.886 samples/sec, CrossEntropy=5.734, SmoothL1=2.088
[Epoch 0][Batch 62], Speed: 21.585 samples/sec, CrossEntropy=5.714, SmoothL1=2.083
[Epoch 0][Batch 63], Speed: 21.688 samples/sec, CrossEntropy=5.695, SmoothL1=2.086
[Epoch 0][Batch 64], Speed: 21.795 samples/sec, CrossEntropy=5.679, SmoothL1=2.080
[Epoch 0][Batch 65], Speed: 11.514 samples/sec, CrossEntropy=5.663, SmoothL1=2.079
[Epoch 0][Batch 66], Speed: 22.317 samples/sec, CrossEntropy=5.647, SmoothL1=2.078
[Epoch 0][Batch 67], Speed: 20.999 samples/sec, CrossEntropy=5.631, SmoothL1=2.074
[Epoch 0][Batch 68], Speed: 19.134 samples/sec, CrossEntropy=5.613, SmoothL1=2.075
[Epoch 0][Batch 69], Speed: 22.298 samples/sec, CrossEntropy=5.598, SmoothL1=2.071
[Epoch 0][Batch 70], Speed: 23.317 samples/sec, CrossEntropy=5.582, SmoothL1=2.074
[Epoch 0][Batch 71], Speed: 20.853 samples/sec, CrossEntropy=5.568, SmoothL1=2.069
[Epoch 0][Batch 72], Speed: 21.876 samples/sec, CrossEntropy=5.554, SmoothL1=2.065
[Epoch 0][Batch 73], Speed: 7.089 samples/sec, CrossEntropy=5.539, SmoothL1=2.061
[Epoch 0][Batch 74], Speed: 23.060 samples/sec, CrossEntropy=5.525, SmoothL1=2.063
[Epoch 0][Batch 75], Speed: 22.496 samples/sec, CrossEntropy=5.509, SmoothL1=2.061
[Epoch 0][Batch 76], Speed: 21.370 samples/sec, CrossEntropy=5.494, SmoothL1=2.059
[Epoch 0][Batch 77], Speed: 21.682 samples/sec, CrossEntropy=5.483, SmoothL1=2.054
[Epoch 0][Batch 78], Speed: 22.896 samples/sec, CrossEntropy=5.472, SmoothL1=2.052
[Epoch 0][Batch 79], Speed: 22.057 samples/sec, CrossEntropy=5.460, SmoothL1=2.049
[Epoch 0][Batch 80], Speed: 22.600 samples/sec, CrossEntropy=5.446, SmoothL1=2.050
[Epoch 0][Batch 81], Speed: 9.038 samples/sec, CrossEntropy=5.434, SmoothL1=2.055
[Epoch 0][Batch 82], Speed: 20.160 samples/sec, CrossEntropy=5.421, SmoothL1=2.056
[Epoch 0][Batch 83], Speed: 21.803 samples/sec, CrossEntropy=5.411, SmoothL1=2.056
[Epoch 0][Batch 84], Speed: 22.212 samples/sec, CrossEntropy=5.399, SmoothL1=2.054
[Epoch 0][Batch 85], Speed: 21.516 samples/sec, CrossEntropy=5.387, SmoothL1=2.052
[Epoch 0][Batch 86], Speed: 21.229 samples/sec, CrossEntropy=5.375, SmoothL1=2.053
[Epoch 0][Batch 87], Speed: 22.826 samples/sec, CrossEntropy=5.364, SmoothL1=2.058
[Epoch 0][Batch 88], Speed: 20.835 samples/sec, CrossEntropy=5.354, SmoothL1=2.055
[Epoch 0][Batch 89], Speed: 20.182 samples/sec, CrossEntropy=5.343, SmoothL1=2.056
[Epoch 0][Batch 90], Speed: 20.500 samples/sec, CrossEntropy=5.333, SmoothL1=2.055
[Epoch 0][Batch 91], Speed: 22.089 samples/sec, CrossEntropy=5.322, SmoothL1=2.053
[Epoch 0][Batch 92], Speed: 20.187 samples/sec, CrossEntropy=5.311, SmoothL1=2.057
[Epoch 0][Batch 93], Speed: 22.209 samples/sec, CrossEntropy=5.301, SmoothL1=2.051
[Epoch 0][Batch 94], Speed: 21.074 samples/sec, CrossEntropy=5.291, SmoothL1=2.050
[Epoch 0][Batch 95], Speed: 22.092 samples/sec, CrossEntropy=5.281, SmoothL1=2.052
[Epoch 0][Batch 96], Speed: 22.164 samples/sec, CrossEntropy=5.271, SmoothL1=2.052
[Epoch 0][Batch 97], Speed: 21.293 samples/sec, CrossEntropy=5.261, SmoothL1=2.050
[Epoch 0][Batch 98], Speed: 22.261 samples/sec, CrossEntropy=5.251, SmoothL1=2.050
[Epoch 0][Batch 99], Speed: 20.392 samples/sec, CrossEntropy=5.242, SmoothL1=2.046
[Epoch 0][Batch 100], Speed: 21.688 samples/sec, CrossEntropy=5.233, SmoothL1=2.039
[Epoch 0][Batch 101], Speed: 20.488 samples/sec, CrossEntropy=5.223, SmoothL1=2.033
[Epoch 0][Batch 102], Speed: 20.348 samples/sec, CrossEntropy=5.213, SmoothL1=2.032
[Epoch 0][Batch 103], Speed: 22.477 samples/sec, CrossEntropy=5.204, SmoothL1=2.033
[Epoch 0][Batch 104], Speed: 20.669 samples/sec, CrossEntropy=5.196, SmoothL1=2.031
[Epoch 0][Batch 105], Speed: 22.719 samples/sec, CrossEntropy=5.185, SmoothL1=2.029
[Epoch 0][Batch 106], Speed: 9.765 samples/sec, CrossEntropy=5.177, SmoothL1=2.028
[Epoch 0][Batch 107], Speed: 20.874 samples/sec, CrossEntropy=5.170, SmoothL1=2.028
[Epoch 0][Batch 108], Speed: 22.173 samples/sec, CrossEntropy=5.161, SmoothL1=2.025
[Epoch 0][Batch 109], Speed: 20.937 samples/sec, CrossEntropy=5.151, SmoothL1=2.023
[Epoch 0][Batch 110], Speed: 22.079 samples/sec, CrossEntropy=5.142, SmoothL1=2.019
[Epoch 0][Batch 111], Speed: 22.159 samples/sec, CrossEntropy=5.133, SmoothL1=2.014
[Epoch 0][Batch 112], Speed: 20.760 samples/sec, CrossEntropy=5.125, SmoothL1=2.011
[Epoch 0][Batch 113], Speed: 21.776 samples/sec, CrossEntropy=5.117, SmoothL1=2.011
[Epoch 0][Batch 114], Speed: 21.495 samples/sec, CrossEntropy=5.108, SmoothL1=2.011
[Epoch 0][Batch 115], Speed: 22.584 samples/sec, CrossEntropy=5.099, SmoothL1=2.012
[Epoch 0][Batch 116], Speed: 19.760 samples/sec, CrossEntropy=5.091, SmoothL1=2.011
[Epoch 0][Batch 117], Speed: 22.410 samples/sec, CrossEntropy=5.084, SmoothL1=2.008
[Epoch 0][Batch 118], Speed: 20.249 samples/sec, CrossEntropy=5.077, SmoothL1=2.004
[Epoch 0][Batch 119], Speed: 12.469 samples/sec, CrossEntropy=5.068, SmoothL1=2.007
[Epoch 0][Batch 120], Speed: 20.119 samples/sec, CrossEntropy=5.061, SmoothL1=2.006
[Epoch 0][Batch 121], Speed: 21.717 samples/sec, CrossEntropy=5.054, SmoothL1=2.007
[Epoch 0][Batch 122], Speed: 20.997 samples/sec, CrossEntropy=5.046, SmoothL1=2.003
[Epoch 0][Batch 123], Speed: 22.748 samples/sec, CrossEntropy=5.039, SmoothL1=1.999
[Epoch 0][Batch 124], Speed: 21.700 samples/sec, CrossEntropy=5.032, SmoothL1=1.996
[Epoch 0][Batch 125], Speed: 20.735 samples/sec, CrossEntropy=5.026, SmoothL1=1.995
[Epoch 0][Batch 126], Speed: 22.153 samples/sec, CrossEntropy=5.017, SmoothL1=1.992
[Epoch 0][Batch 127], Speed: 22.717 samples/sec, CrossEntropy=5.011, SmoothL1=1.992
[Epoch 0][Batch 128], Speed: 34.957 samples/sec, CrossEntropy=5.004, SmoothL1=1.992
[Epoch 0][Batch 129], Speed: 34.945 samples/sec, CrossEntropy=4.996, SmoothL1=1.994
[Epoch 0][Batch 130], Speed: 35.481 samples/sec, CrossEntropy=4.989, SmoothL1=1.991
[Epoch 0] Training cost: 112.517, CrossEntropy=4.989, SmoothL1=1.991
[Epoch 0] Validation: 
smoke=0.03793878362393878
mAP=0.03793878362393878
[Epoch 1][Batch 0], Speed: 8.445 samples/sec, CrossEntropy=3.987, SmoothL1=1.543
[Epoch 1][Batch 1], Speed: 13.506 samples/sec, CrossEntropy=3.986, SmoothL1=1.485
[Epoch 1][Batch 2], Speed: 20.028 samples/sec, CrossEntropy=4.025, SmoothL1=1.579
