Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.001_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.717 samples/sec, CrossEntropy=7.668, SmoothL1=2.230
[Epoch 0][Batch 1], Speed: 35.086 samples/sec, CrossEntropy=6.978, SmoothL1=2.486
[Epoch 0][Batch 2], Speed: 32.079 samples/sec, CrossEntropy=6.429, SmoothL1=2.205
[Epoch 0][Batch 3], Speed: 24.786 samples/sec, CrossEntropy=5.997, SmoothL1=2.209
[Epoch 0][Batch 4], Speed: 23.551 samples/sec, CrossEntropy=5.681, SmoothL1=2.068
[Epoch 0][Batch 5], Speed: 24.439 samples/sec, CrossEntropy=5.431, SmoothL1=2.019
[Epoch 0][Batch 6], Speed: 21.113 samples/sec, CrossEntropy=5.237, SmoothL1=1.967
[Epoch 0][Batch 7], Speed: 22.899 samples/sec, CrossEntropy=5.050, SmoothL1=1.952
[Epoch 0][Batch 8], Speed: 20.269 samples/sec, CrossEntropy=4.889, SmoothL1=1.934
[Epoch 0][Batch 9], Speed: 22.569 samples/sec, CrossEntropy=4.763, SmoothL1=1.867
[Epoch 0][Batch 10], Speed: 23.161 samples/sec, CrossEntropy=4.641, SmoothL1=1.824
[Epoch 0][Batch 11], Speed: 24.698 samples/sec, CrossEntropy=4.528, SmoothL1=1.800
[Epoch 0][Batch 12], Speed: 21.184 samples/sec, CrossEntropy=4.422, SmoothL1=1.788
[Epoch 0][Batch 13], Speed: 22.815 samples/sec, CrossEntropy=4.316, SmoothL1=1.748
[Epoch 0][Batch 14], Speed: 22.545 samples/sec, CrossEntropy=4.244, SmoothL1=1.723
[Epoch 0][Batch 15], Speed: 23.527 samples/sec, CrossEntropy=4.159, SmoothL1=1.692
[Epoch 0][Batch 16], Speed: 22.593 samples/sec, CrossEntropy=4.083, SmoothL1=1.671
[Epoch 0][Batch 17], Speed: 22.513 samples/sec, CrossEntropy=4.010, SmoothL1=1.644
[Epoch 0][Batch 18], Speed: 23.129 samples/sec, CrossEntropy=3.949, SmoothL1=1.631
[Epoch 0][Batch 19], Speed: 22.904 samples/sec, CrossEntropy=3.888, SmoothL1=1.607
[Epoch 0][Batch 20], Speed: 22.593 samples/sec, CrossEntropy=3.840, SmoothL1=1.608
[Epoch 0][Batch 21], Speed: 13.442 samples/sec, CrossEntropy=3.785, SmoothL1=1.597
[Epoch 0][Batch 22], Speed: 22.413 samples/sec, CrossEntropy=3.731, SmoothL1=1.575
[Epoch 0][Batch 23], Speed: 22.419 samples/sec, CrossEntropy=3.683, SmoothL1=1.567
[Epoch 0][Batch 24], Speed: 7.751 samples/sec, CrossEntropy=3.647, SmoothL1=1.583
[Epoch 0][Batch 25], Speed: 22.728 samples/sec, CrossEntropy=3.603, SmoothL1=1.567
[Epoch 0][Batch 26], Speed: 23.040 samples/sec, CrossEntropy=3.567, SmoothL1=1.561
[Epoch 0][Batch 27], Speed: 23.040 samples/sec, CrossEntropy=3.531, SmoothL1=1.536
[Epoch 0][Batch 28], Speed: 22.749 samples/sec, CrossEntropy=3.496, SmoothL1=1.516
[Epoch 0][Batch 29], Speed: 22.940 samples/sec, CrossEntropy=3.463, SmoothL1=1.493
[Epoch 0][Batch 30], Speed: 19.632 samples/sec, CrossEntropy=3.433, SmoothL1=1.480
[Epoch 0][Batch 31], Speed: 23.745 samples/sec, CrossEntropy=3.407, SmoothL1=1.465
[Epoch 0][Batch 32], Speed: 22.542 samples/sec, CrossEntropy=3.383, SmoothL1=1.456
[Epoch 0][Batch 33], Speed: 14.828 samples/sec, CrossEntropy=3.356, SmoothL1=1.449
[Epoch 0][Batch 34], Speed: 22.255 samples/sec, CrossEntropy=3.335, SmoothL1=1.445
[Epoch 0][Batch 35], Speed: 14.259 samples/sec, CrossEntropy=3.310, SmoothL1=1.437
[Epoch 0][Batch 36], Speed: 21.007 samples/sec, CrossEntropy=3.288, SmoothL1=1.432
[Epoch 0][Batch 37], Speed: 22.042 samples/sec, CrossEntropy=3.264, SmoothL1=1.425
[Epoch 0][Batch 38], Speed: 10.562 samples/sec, CrossEntropy=3.246, SmoothL1=1.421
[Epoch 0][Batch 39], Speed: 22.861 samples/sec, CrossEntropy=3.222, SmoothL1=1.407
[Epoch 0][Batch 40], Speed: 21.153 samples/sec, CrossEntropy=3.203, SmoothL1=1.398
[Epoch 0][Batch 41], Speed: 22.438 samples/sec, CrossEntropy=3.186, SmoothL1=1.396
[Epoch 0][Batch 42], Speed: 22.719 samples/sec, CrossEntropy=3.167, SmoothL1=1.391
[Epoch 0][Batch 43], Speed: 23.333 samples/sec, CrossEntropy=3.151, SmoothL1=1.388
[Epoch 0][Batch 44], Speed: 12.241 samples/sec, CrossEntropy=3.136, SmoothL1=1.390
[Epoch 0][Batch 45], Speed: 22.886 samples/sec, CrossEntropy=3.123, SmoothL1=1.390
[Epoch 0][Batch 46], Speed: 24.437 samples/sec, CrossEntropy=3.110, SmoothL1=1.396
[Epoch 0][Batch 47], Speed: 17.231 samples/sec, CrossEntropy=3.093, SmoothL1=1.389
[Epoch 0][Batch 48], Speed: 22.420 samples/sec, CrossEntropy=3.078, SmoothL1=1.388
[Epoch 0][Batch 49], Speed: 22.158 samples/sec, CrossEntropy=3.065, SmoothL1=1.381
[Epoch 0][Batch 50], Speed: 14.863 samples/sec, CrossEntropy=3.049, SmoothL1=1.370
[Epoch 0][Batch 51], Speed: 23.560 samples/sec, CrossEntropy=3.034, SmoothL1=1.366
[Epoch 0][Batch 52], Speed: 22.516 samples/sec, CrossEntropy=3.024, SmoothL1=1.366
[Epoch 0][Batch 53], Speed: 19.699 samples/sec, CrossEntropy=3.011, SmoothL1=1.364
[Epoch 0][Batch 54], Speed: 23.067 samples/sec, CrossEntropy=2.997, SmoothL1=1.361
[Epoch 0][Batch 55], Speed: 17.007 samples/sec, CrossEntropy=2.985, SmoothL1=1.356
[Epoch 0][Batch 56], Speed: 17.379 samples/sec, CrossEntropy=2.971, SmoothL1=1.350
[Epoch 0][Batch 57], Speed: 21.992 samples/sec, CrossEntropy=2.962, SmoothL1=1.348
[Epoch 0][Batch 58], Speed: 22.654 samples/sec, CrossEntropy=2.953, SmoothL1=1.348
[Epoch 0][Batch 59], Speed: 21.384 samples/sec, CrossEntropy=2.939, SmoothL1=1.340
[Epoch 0][Batch 60], Speed: 22.547 samples/sec, CrossEntropy=2.927, SmoothL1=1.332
[Epoch 0][Batch 61], Speed: 23.231 samples/sec, CrossEntropy=2.914, SmoothL1=1.322
[Epoch 0][Batch 62], Speed: 15.913 samples/sec, CrossEntropy=2.903, SmoothL1=1.320
