Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=20, gpus='0', log_interval=1, lr=0.01, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_0.01ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.874 samples/sec, CrossEntropy=8.174, SmoothL1=2.233
[Epoch 0][Batch 1], Speed: 33.495 samples/sec, CrossEntropy=7.678, SmoothL1=2.448
[Epoch 0][Batch 2], Speed: 30.105 samples/sec, CrossEntropy=8.372, SmoothL1=2.248
[Epoch 0][Batch 3], Speed: 21.281 samples/sec, CrossEntropy=8.298, SmoothL1=2.085
[Epoch 0][Batch 4], Speed: 24.811 samples/sec, CrossEntropy=8.203, SmoothL1=2.021
[Epoch 0][Batch 5], Speed: 21.658 samples/sec, CrossEntropy=8.023, SmoothL1=2.187
[Epoch 0][Batch 6], Speed: 24.844 samples/sec, CrossEntropy=8.052, SmoothL1=2.197
[Epoch 0][Batch 7], Speed: 22.797 samples/sec, CrossEntropy=7.982, SmoothL1=2.209
[Epoch 0][Batch 8], Speed: 22.595 samples/sec, CrossEntropy=7.961, SmoothL1=2.221
[Epoch 0][Batch 9], Speed: 10.222 samples/sec, CrossEntropy=7.665, SmoothL1=2.237
[Epoch 0][Batch 10], Speed: 20.589 samples/sec, CrossEntropy=7.350, SmoothL1=2.251
[Epoch 0][Batch 11], Speed: 22.259 samples/sec, CrossEntropy=7.095, SmoothL1=2.307
[Epoch 0][Batch 12], Speed: 22.392 samples/sec, CrossEntropy=6.844, SmoothL1=2.337
[Epoch 0][Batch 13], Speed: 22.444 samples/sec, CrossEntropy=6.660, SmoothL1=2.333
[Epoch 0][Batch 14], Speed: 21.172 samples/sec, CrossEntropy=6.478, SmoothL1=2.347
[Epoch 0][Batch 15], Speed: 25.105 samples/sec, CrossEntropy=6.291, SmoothL1=2.335
[Epoch 0][Batch 16], Speed: 23.484 samples/sec, CrossEntropy=6.134, SmoothL1=2.349
[Epoch 0][Batch 17], Speed: 22.673 samples/sec, CrossEntropy=5.981, SmoothL1=2.361
[Epoch 0][Batch 18], Speed: 11.321 samples/sec, CrossEntropy=5.829, SmoothL1=2.387
[Epoch 0][Batch 19], Speed: 20.681 samples/sec, CrossEntropy=5.692, SmoothL1=2.386
[Epoch 0][Batch 20], Speed: 22.153 samples/sec, CrossEntropy=5.569, SmoothL1=2.391
