Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=30, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='16_ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.622 samples/sec, CrossEntropy=7.867, SmoothL1=2.322
[Epoch 0][Batch 1], Speed: 35.144 samples/sec, CrossEntropy=6.738, SmoothL1=2.206
[Epoch 0][Batch 2], Speed: 30.729 samples/sec, CrossEntropy=6.199, SmoothL1=2.071
[Epoch 0][Batch 3], Speed: 24.200 samples/sec, CrossEntropy=5.806, SmoothL1=2.046
[Epoch 0][Batch 4], Speed: 24.343 samples/sec, CrossEntropy=5.533, SmoothL1=1.994
[Epoch 0][Batch 5], Speed: 23.106 samples/sec, CrossEntropy=5.334, SmoothL1=1.950
[Epoch 0][Batch 6], Speed: 23.334 samples/sec, CrossEntropy=5.125, SmoothL1=1.923
[Epoch 0][Batch 7], Speed: 23.652 samples/sec, CrossEntropy=4.961, SmoothL1=1.899
[Epoch 0][Batch 8], Speed: 22.195 samples/sec, CrossEntropy=4.798, SmoothL1=1.880
[Epoch 0][Batch 9], Speed: 11.838 samples/sec, CrossEntropy=4.680, SmoothL1=1.847
[Epoch 0][Batch 10], Speed: 22.123 samples/sec, CrossEntropy=4.552, SmoothL1=1.838
[Epoch 0][Batch 11], Speed: 23.054 samples/sec, CrossEntropy=4.448, SmoothL1=1.828
[Epoch 0][Batch 12], Speed: 23.131 samples/sec, CrossEntropy=4.351, SmoothL1=1.811
[Epoch 0][Batch 13], Speed: 23.271 samples/sec, CrossEntropy=4.255, SmoothL1=1.786
[Epoch 0][Batch 14], Speed: 22.708 samples/sec, CrossEntropy=4.182, SmoothL1=1.770
[Epoch 0][Batch 15], Speed: 22.903 samples/sec, CrossEntropy=4.119, SmoothL1=1.730
[Epoch 0][Batch 16], Speed: 21.974 samples/sec, CrossEntropy=4.042, SmoothL1=1.703
[Epoch 0][Batch 17], Speed: 9.500 samples/sec, CrossEntropy=3.980, SmoothL1=1.690
[Epoch 0][Batch 18], Speed: 22.421 samples/sec, CrossEntropy=3.928, SmoothL1=1.694
[Epoch 0][Batch 19], Speed: 20.905 samples/sec, CrossEntropy=3.872, SmoothL1=1.693
[Epoch 0][Batch 20], Speed: 22.756 samples/sec, CrossEntropy=3.829, SmoothL1=1.690
[Epoch 0][Batch 21], Speed: 24.440 samples/sec, CrossEntropy=3.778, SmoothL1=1.680
[Epoch 0][Batch 22], Speed: 20.962 samples/sec, CrossEntropy=3.728, SmoothL1=1.651
[Epoch 0][Batch 23], Speed: 25.940 samples/sec, CrossEntropy=3.692, SmoothL1=1.643
[Epoch 0][Batch 24], Speed: 6.448 samples/sec, CrossEntropy=3.652, SmoothL1=1.642
[Epoch 0][Batch 25], Speed: 23.071 samples/sec, CrossEntropy=3.618, SmoothL1=1.623
[Epoch 0][Batch 26], Speed: 22.867 samples/sec, CrossEntropy=3.594, SmoothL1=1.619
[Epoch 0][Batch 27], Speed: 22.885 samples/sec, CrossEntropy=3.558, SmoothL1=1.593
[Epoch 0][Batch 28], Speed: 23.376 samples/sec, CrossEntropy=3.522, SmoothL1=1.581
[Epoch 0][Batch 29], Speed: 11.989 samples/sec, CrossEntropy=3.489, SmoothL1=1.562
[Epoch 0][Batch 30], Speed: 23.615 samples/sec, CrossEntropy=3.458, SmoothL1=1.557
[Epoch 0][Batch 31], Speed: 21.998 samples/sec, CrossEntropy=3.429, SmoothL1=1.544
[Epoch 0][Batch 32], Speed: 22.445 samples/sec, CrossEntropy=3.401, SmoothL1=1.541
[Epoch 0][Batch 33], Speed: 21.134 samples/sec, CrossEntropy=3.378, SmoothL1=1.529
[Epoch 0][Batch 34], Speed: 22.696 samples/sec, CrossEntropy=3.356, SmoothL1=1.526
[Epoch 0][Batch 35], Speed: 22.413 samples/sec, CrossEntropy=3.331, SmoothL1=1.517
