Namespace(batch_size=24, data_shape=512, dataset='voc', epochs=30, gpus='0,1', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=6, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 2.274 samples/sec, CrossEntropy=7.581, SmoothL1=2.762
[Epoch 0][Batch 1], Speed: 52.768 samples/sec, CrossEntropy=7.022, SmoothL1=2.433
[Epoch 0][Batch 2], Speed: 60.784 samples/sec, CrossEntropy=6.405, SmoothL1=2.365
[Epoch 0][Batch 3], Speed: 57.929 samples/sec, CrossEntropy=5.984, SmoothL1=2.223
[Epoch 0][Batch 4], Speed: 49.661 samples/sec, CrossEntropy=5.688, SmoothL1=2.165
[Epoch 0][Batch 5], Speed: 46.113 samples/sec, CrossEntropy=5.457, SmoothL1=2.094
[Epoch 0][Batch 6], Speed: 35.906 samples/sec, CrossEntropy=5.276, SmoothL1=2.014
[Epoch 0][Batch 7], Speed: 35.241 samples/sec, CrossEntropy=5.079, SmoothL1=2.020
[Epoch 0][Batch 8], Speed: 36.767 samples/sec, CrossEntropy=4.925, SmoothL1=1.972
[Epoch 0][Batch 9], Speed: 36.041 samples/sec, CrossEntropy=4.776, SmoothL1=1.936
[Epoch 0][Batch 10], Speed: 34.279 samples/sec, CrossEntropy=4.649, SmoothL1=1.873
[Epoch 0][Batch 11], Speed: 35.686 samples/sec, CrossEntropy=4.540, SmoothL1=1.828
[Epoch 0][Batch 12], Speed: 33.839 samples/sec, CrossEntropy=4.437, SmoothL1=1.861
[Epoch 0][Batch 13], Speed: 33.815 samples/sec, CrossEntropy=4.344, SmoothL1=1.824
[Epoch 0][Batch 14], Speed: 38.137 samples/sec, CrossEntropy=4.262, SmoothL1=1.803
[Epoch 0][Batch 15], Speed: 36.588 samples/sec, CrossEntropy=4.179, SmoothL1=1.761
[Epoch 0][Batch 16], Speed: 34.337 samples/sec, CrossEntropy=4.109, SmoothL1=1.755
[Epoch 0][Batch 17], Speed: 34.572 samples/sec, CrossEntropy=4.035, SmoothL1=1.727
[Epoch 0][Batch 18], Speed: 35.096 samples/sec, CrossEntropy=3.970, SmoothL1=1.695
[Epoch 0][Batch 19], Speed: 33.665 samples/sec, CrossEntropy=3.901, SmoothL1=1.678
[Epoch 0][Batch 20], Speed: 38.341 samples/sec, CrossEntropy=3.838, SmoothL1=1.660
