Namespace(batch_size=8, data_shape=512, dataset='voc', epochs=30, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 0.933 samples/sec, CrossEntropy=7.886, SmoothL1=1.496
[Epoch 0][Batch 1], Speed: 29.958 samples/sec, CrossEntropy=6.953, SmoothL1=2.106
[Epoch 0][Batch 2], Speed: 28.079 samples/sec, CrossEntropy=6.299, SmoothL1=2.293
[Epoch 0][Batch 3], Speed: 20.991 samples/sec, CrossEntropy=5.919, SmoothL1=2.210
[Epoch 0][Batch 4], Speed: 22.051 samples/sec, CrossEntropy=5.654, SmoothL1=2.200
[Epoch 0][Batch 5], Speed: 30.716 samples/sec, CrossEntropy=5.450, SmoothL1=2.075
[Epoch 0][Batch 6], Speed: 27.918 samples/sec, CrossEntropy=5.267, SmoothL1=2.018
[Epoch 0][Batch 7], Speed: 24.020 samples/sec, CrossEntropy=5.088, SmoothL1=1.975
[Epoch 0][Batch 8], Speed: 31.495 samples/sec, CrossEntropy=4.952, SmoothL1=1.936
[Epoch 0][Batch 9], Speed: 32.184 samples/sec, CrossEntropy=4.808, SmoothL1=1.910
[Epoch 0][Batch 10], Speed: 30.053 samples/sec, CrossEntropy=4.690, SmoothL1=1.840
[Epoch 0][Batch 11], Speed: 16.195 samples/sec, CrossEntropy=4.582, SmoothL1=1.824
[Epoch 0][Batch 12], Speed: 14.154 samples/sec, CrossEntropy=4.494, SmoothL1=1.799
[Epoch 0][Batch 13], Speed: 30.033 samples/sec, CrossEntropy=4.415, SmoothL1=1.778
[Epoch 0][Batch 14], Speed: 29.295 samples/sec, CrossEntropy=4.314, SmoothL1=1.755
[Epoch 0][Batch 15], Speed: 11.713 samples/sec, CrossEntropy=4.264, SmoothL1=1.765
[Epoch 0][Batch 16], Speed: 22.428 samples/sec, CrossEntropy=4.182, SmoothL1=1.729
[Epoch 0][Batch 17], Speed: 21.315 samples/sec, CrossEntropy=4.124, SmoothL1=1.736
[Epoch 0][Batch 18], Speed: 4.255 samples/sec, CrossEntropy=4.057, SmoothL1=1.703
[Epoch 0][Batch 19], Speed: 19.559 samples/sec, CrossEntropy=4.004, SmoothL1=1.677
[Epoch 0][Batch 20], Speed: 23.166 samples/sec, CrossEntropy=3.953, SmoothL1=1.669
[Epoch 0][Batch 21], Speed: 18.574 samples/sec, CrossEntropy=3.896, SmoothL1=1.650
[Epoch 0][Batch 22], Speed: 23.377 samples/sec, CrossEntropy=3.864, SmoothL1=1.660
[Epoch 0][Batch 23], Speed: 19.816 samples/sec, CrossEntropy=3.821, SmoothL1=1.668
[Epoch 0][Batch 24], Speed: 14.522 samples/sec, CrossEntropy=3.773, SmoothL1=1.662
[Epoch 0][Batch 25], Speed: 31.794 samples/sec, CrossEntropy=3.737, SmoothL1=1.666
[Epoch 0][Batch 26], Speed: 24.642 samples/sec, CrossEntropy=3.702, SmoothL1=1.658
[Epoch 0][Batch 27], Speed: 21.347 samples/sec, CrossEntropy=3.671, SmoothL1=1.635
[Epoch 0][Batch 28], Speed: 20.120 samples/sec, CrossEntropy=3.645, SmoothL1=1.637
[Epoch 0][Batch 29], Speed: 10.081 samples/sec, CrossEntropy=3.610, SmoothL1=1.632
[Epoch 0][Batch 30], Speed: 22.097 samples/sec, CrossEntropy=3.575, SmoothL1=1.632
[Epoch 0][Batch 31], Speed: 21.992 samples/sec, CrossEntropy=3.553, SmoothL1=1.642
[Epoch 0][Batch 32], Speed: 22.818 samples/sec, CrossEntropy=3.517, SmoothL1=1.634
[Epoch 0][Batch 33], Speed: 20.891 samples/sec, CrossEntropy=3.489, SmoothL1=1.622
[Epoch 0][Batch 34], Speed: 19.872 samples/sec, CrossEntropy=3.456, SmoothL1=1.594
