Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_mobilenet1.0_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.740 samples/sec, CrossEntropy=8.590, SmoothL1=2.215
[Epoch 0][Batch 1], Speed: 62.960 samples/sec, CrossEntropy=7.727, SmoothL1=2.494
[Epoch 0][Batch 2], Speed: 65.818 samples/sec, CrossEntropy=7.166, SmoothL1=2.185
[Epoch 0][Batch 3], Speed: 46.182 samples/sec, CrossEntropy=6.715, SmoothL1=2.086
[Epoch 0][Batch 4], Speed: 35.741 samples/sec, CrossEntropy=6.322, SmoothL1=2.102
[Epoch 0][Batch 5], Speed: 40.009 samples/sec, CrossEntropy=5.968, SmoothL1=2.022
[Epoch 0][Batch 6], Speed: 45.776 samples/sec, CrossEntropy=5.707, SmoothL1=2.016
[Epoch 0][Batch 7], Speed: 24.629 samples/sec, CrossEntropy=5.516, SmoothL1=1.965
[Epoch 0][Batch 8], Speed: 40.706 samples/sec, CrossEntropy=5.332, SmoothL1=1.940
[Epoch 0][Batch 9], Speed: 45.567 samples/sec, CrossEntropy=5.183, SmoothL1=1.875
[Epoch 0][Batch 10], Speed: 21.379 samples/sec, CrossEntropy=5.027, SmoothL1=1.853
[Epoch 0][Batch 11], Speed: 22.003 samples/sec, CrossEntropy=4.905, SmoothL1=1.918
[Epoch 0][Batch 12], Speed: 16.439 samples/sec, CrossEntropy=4.788, SmoothL1=1.889
[Epoch 0][Batch 13], Speed: 39.754 samples/sec, CrossEntropy=4.683, SmoothL1=1.853
[Epoch 0][Batch 14], Speed: 12.312 samples/sec, CrossEntropy=4.587, SmoothL1=1.821
[Epoch 0][Batch 15], Speed: 40.077 samples/sec, CrossEntropy=4.498, SmoothL1=1.808
[Epoch 0][Batch 16], Speed: 46.308 samples/sec, CrossEntropy=4.426, SmoothL1=1.804
[Epoch 0][Batch 17], Speed: 13.460 samples/sec, CrossEntropy=4.343, SmoothL1=1.772
[Epoch 0][Batch 18], Speed: 9.067 samples/sec, CrossEntropy=4.279, SmoothL1=1.751
[Epoch 0][Batch 19], Speed: 15.334 samples/sec, CrossEntropy=4.203, SmoothL1=1.736
[Epoch 0][Batch 20], Speed: 35.652 samples/sec, CrossEntropy=4.141, SmoothL1=1.735
[Epoch 0][Batch 21], Speed: 30.337 samples/sec, CrossEntropy=4.080, SmoothL1=1.713
[Epoch 0][Batch 22], Speed: 42.309 samples/sec, CrossEntropy=4.013, SmoothL1=1.690
[Epoch 0][Batch 23], Speed: 19.493 samples/sec, CrossEntropy=3.961, SmoothL1=1.669
[Epoch 0][Batch 24], Speed: 18.233 samples/sec, CrossEntropy=3.925, SmoothL1=1.669
[Epoch 0][Batch 25], Speed: 9.446 samples/sec, CrossEntropy=3.879, SmoothL1=1.685
[Epoch 0][Batch 26], Speed: 44.837 samples/sec, CrossEntropy=3.845, SmoothL1=1.686
[Epoch 0][Batch 27], Speed: 41.776 samples/sec, CrossEntropy=3.808, SmoothL1=1.653
[Epoch 0][Batch 28], Speed: 20.007 samples/sec, CrossEntropy=3.777, SmoothL1=1.645
[Epoch 0][Batch 29], Speed: 5.019 samples/sec, CrossEntropy=3.737, SmoothL1=1.636
[Epoch 0][Batch 30], Speed: 42.601 samples/sec, CrossEntropy=3.704, SmoothL1=1.616
[Epoch 0][Batch 31], Speed: 40.697 samples/sec, CrossEntropy=3.674, SmoothL1=1.609
[Epoch 0][Batch 32], Speed: 44.682 samples/sec, CrossEntropy=3.642, SmoothL1=1.608
[Epoch 0][Batch 33], Speed: 36.252 samples/sec, CrossEntropy=3.608, SmoothL1=1.599
[Epoch 0][Batch 34], Speed: 15.572 samples/sec, CrossEntropy=3.581, SmoothL1=1.593
[Epoch 0][Batch 35], Speed: 33.539 samples/sec, CrossEntropy=3.555, SmoothL1=1.583
[Epoch 0][Batch 36], Speed: 45.524 samples/sec, CrossEntropy=3.531, SmoothL1=1.584
[Epoch 0][Batch 37], Speed: 12.826 samples/sec, CrossEntropy=3.500, SmoothL1=1.571
[Epoch 0][Batch 38], Speed: 37.279 samples/sec, CrossEntropy=3.476, SmoothL1=1.572
[Epoch 0][Batch 39], Speed: 27.175 samples/sec, CrossEntropy=3.449, SmoothL1=1.572
[Epoch 0][Batch 40], Speed: 27.563 samples/sec, CrossEntropy=3.431, SmoothL1=1.566
[Epoch 0][Batch 41], Speed: 16.065 samples/sec, CrossEntropy=3.411, SmoothL1=1.559
[Epoch 0][Batch 42], Speed: 24.633 samples/sec, CrossEntropy=3.389, SmoothL1=1.554
[Epoch 0][Batch 43], Speed: 39.780 samples/sec, CrossEntropy=3.369, SmoothL1=1.544
[Epoch 0][Batch 44], Speed: 18.070 samples/sec, CrossEntropy=3.350, SmoothL1=1.543
[Epoch 0][Batch 45], Speed: 23.340 samples/sec, CrossEntropy=3.330, SmoothL1=1.537
[Epoch 0][Batch 46], Speed: 13.007 samples/sec, CrossEntropy=3.311, SmoothL1=1.540
[Epoch 0][Batch 47], Speed: 20.431 samples/sec, CrossEntropy=3.292, SmoothL1=1.532
[Epoch 0][Batch 48], Speed: 40.053 samples/sec, CrossEntropy=3.275, SmoothL1=1.529
[Epoch 0][Batch 49], Speed: 17.785 samples/sec, CrossEntropy=3.258, SmoothL1=1.527
[Epoch 0][Batch 50], Speed: 32.935 samples/sec, CrossEntropy=3.239, SmoothL1=1.514
[Epoch 0][Batch 51], Speed: 42.351 samples/sec, CrossEntropy=3.222, SmoothL1=1.510
