Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
Namespace(batch_size=32, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_resnet50_v1_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.849 samples/sec, CrossEntropy=7.899, SmoothL1=2.502
[Epoch 0][Batch 1], Speed: 35.346 samples/sec, CrossEntropy=7.002, SmoothL1=2.957
[Epoch 0][Batch 2], Speed: 27.597 samples/sec, CrossEntropy=6.459, SmoothL1=2.568
[Epoch 0][Batch 3], Speed: 22.225 samples/sec, CrossEntropy=6.027, SmoothL1=2.367
[Epoch 0][Batch 4], Speed: 20.035 samples/sec, CrossEntropy=5.716, SmoothL1=2.238
[Epoch 0][Batch 5], Speed: 22.578 samples/sec, CrossEntropy=5.498, SmoothL1=2.100
[Epoch 0][Batch 6], Speed: 26.066 samples/sec, CrossEntropy=5.277, SmoothL1=2.046
[Epoch 0][Batch 7], Speed: 21.306 samples/sec, CrossEntropy=5.078, SmoothL1=2.022
[Epoch 0][Batch 8], Speed: 20.017 samples/sec, CrossEntropy=4.928, SmoothL1=1.957
[Epoch 0][Batch 9], Speed: 21.453 samples/sec, CrossEntropy=4.813, SmoothL1=1.892
[Epoch 0][Batch 10], Speed: 20.093 samples/sec, CrossEntropy=4.684, SmoothL1=1.868
[Epoch 0][Batch 11], Speed: 20.697 samples/sec, CrossEntropy=4.574, SmoothL1=1.888
[Epoch 0][Batch 12], Speed: 21.969 samples/sec, CrossEntropy=4.466, SmoothL1=1.865
[Epoch 0][Batch 13], Speed: 20.571 samples/sec, CrossEntropy=4.365, SmoothL1=1.829
[Epoch 0][Batch 14], Speed: 20.709 samples/sec, CrossEntropy=4.276, SmoothL1=1.812
[Epoch 0][Batch 15], Speed: 22.683 samples/sec, CrossEntropy=4.196, SmoothL1=1.793
[Epoch 0][Batch 16], Speed: 23.069 samples/sec, CrossEntropy=4.124, SmoothL1=1.750
[Epoch 0][Batch 17], Speed: 24.751 samples/sec, CrossEntropy=4.048, SmoothL1=1.706
[Epoch 0][Batch 18], Speed: 12.252 samples/sec, CrossEntropy=3.985, SmoothL1=1.690
[Epoch 0][Batch 19], Speed: 16.208 samples/sec, CrossEntropy=3.918, SmoothL1=1.665
