Namespace(batch_size=16, data_shape=512, dataset='voc', epochs=240, gpus='0', log_interval=1, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='vgg16_atrous', num_workers=3, resume='', save_interval=100, save_prefix='ssd_512_vgg16_atrous_voc', seed=233, start_epoch=0, syncbn=False, val_interval=1, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 0], Speed: 1.281 samples/sec, CrossEntropy=9.312, SmoothL1=2.584
[Epoch 0][Batch 1], Speed: 18.524 samples/sec, CrossEntropy=8.526, SmoothL1=2.838
[Epoch 0][Batch 2], Speed: 17.433 samples/sec, CrossEntropy=7.886, SmoothL1=2.530
[Epoch 0][Batch 3], Speed: 18.287 samples/sec, CrossEntropy=7.237, SmoothL1=2.392
[Epoch 0][Batch 4], Speed: 17.043 samples/sec, CrossEntropy=6.755, SmoothL1=2.319
[Epoch 0][Batch 5], Speed: 14.546 samples/sec, CrossEntropy=6.315, SmoothL1=2.212
[Epoch 0][Batch 6], Speed: 14.632 samples/sec, CrossEntropy=5.970, SmoothL1=2.209
[Epoch 0][Batch 7], Speed: 18.253 samples/sec, CrossEntropy=5.683, SmoothL1=2.160
[Epoch 0][Batch 8], Speed: 17.641 samples/sec, CrossEntropy=5.438, SmoothL1=2.134
[Epoch 0][Batch 9], Speed: 15.980 samples/sec, CrossEntropy=5.224, SmoothL1=2.119
[Epoch 0][Batch 10], Speed: 15.970 samples/sec, CrossEntropy=5.065, SmoothL1=2.111
[Epoch 0][Batch 11], Speed: 18.104 samples/sec, CrossEntropy=4.918, SmoothL1=2.109
[Epoch 0][Batch 12], Speed: 15.828 samples/sec, CrossEntropy=4.794, SmoothL1=2.105
[Epoch 0][Batch 13], Speed: 16.015 samples/sec, CrossEntropy=4.673, SmoothL1=2.088
[Epoch 0][Batch 14], Speed: 14.555 samples/sec, CrossEntropy=4.571, SmoothL1=2.086
[Epoch 0][Batch 15], Speed: 15.619 samples/sec, CrossEntropy=4.464, SmoothL1=2.030
